time;SPEED;SPEED_filter
13.21;0.0;-1.000000000000021
13.22;0.0;-0.7500000000000158
13.23;-2.5000000000000555;-1.0000000000000213
13.24;0.0;-0.7500000000000161
13.25;0.0;-0.7500000000000162
13.26;0.0;-0.7500000000000162
13.27;-2.4999999999996088;-0.7499999999999718
13.280000000000001;0.0;-0.7499999999999718
13.290000000000001;0.0;-0.7499999999999718
13.3;0.0;-0.4999999999999664
13.31;0.0;-0.4999999999999664
13.32;-2.500000000000053;-0.7499999999999717
13.33;0.0;-0.49999999999996614
13.34;0.0;-0.49999999999996614
13.35;0.0;-0.49999999999996614
13.36;0.0;-0.49999999999996614
13.370000000000001;0.0;-0.2500000000000053
13.38;0.0;-0.2500000000000053
13.39;0.0;-0.2500000000000053
13.4;0.0;-0.2500000000000053
13.41;-2.500000000000054;-0.5000000000000107
13.42;0.0;-0.25000000000000544
13.43;0.0;-0.25000000000000544
13.44;0.0;-0.25000000000000544
13.450000000000001;0.0;-0.25000000000000544
13.46;0.0;-0.25000000000000544
13.47;0.0;-0.25000000000000544
13.48;0.0;-0.25000000000000544
13.49;0.0;-0.25000000000000544
13.5;0.0;-0.25000000000000544
13.51;0.0;0.0
13.52;0.0;0.0
13.530000000000001;-2.5000000000000533;-0.25000000000000533
13.540000000000001;0.0;-0.25000000000000533
13.55;0.0;-0.25000000000000533
13.56;0.0;-0.25000000000000533
13.57;0.0;-0.25000000000000533
13.58;0.0;-0.25000000000000533
13.59;0.0;-0.25000000000000533
13.6;0.0;-0.25000000000000533
13.61;0.0;-0.25000000000000533
13.620000000000001;0.0;-0.25000000000000533
13.63;0.0;0.0
13.64;0.0;0.0
13.65;0.0;0.0
13.66;0.0;0.0
13.67;0.0;0.0
13.68;0.0;0.0
13.69;0.0;0.0
13.700000000000001;0.0;0.0
13.71;0.0;0.0
13.72;0.0;0.0
13.73;0.0;0.0
13.74;0.0;0.0
13.75;0.0;0.0
13.76;0.0;0.0
13.77;0.0;0.0
13.780000000000001;0.0;0.0
13.790000000000001;-2.5000000000000533;-0.25000000000000533
13.8;0.0;-0.25000000000000533
13.81;0.0;-0.25000000000000533
13.82;0.0;-0.25000000000000533
13.83;0.0;-0.25000000000000533
13.84;0.0;-0.25000000000000533
13.85;0.0;-0.25000000000000533
13.86;0.0;-0.25000000000000533
13.870000000000001;0.0;-0.25000000000000533
13.88;0.0;-0.25000000000000533
13.89;0.0;0.0
13.9;0.0;0.0
13.91;0.0;0.0
13.92;0.0;0.0
13.93;0.0;0.0
13.94;0.0;0.0
13.950000000000001;0.0;0.0
13.96;0.0;0.0
13.97;0.0;0.0
13.98;0.0;0.0
13.99;0.0;0.0
14.0;0.0;0.0
14.01;0.0;0.0
14.02;0.0;0.0
14.030000000000001;0.0;0.0
14.040000000000001;0.0;0.0
14.05;0.0;0.0
14.06;0.0;0.0
14.07;0.0;0.0
14.08;0.0;0.0
14.09;0.0;0.0
14.1;0.0;0.0
14.11;0.0;0.0
14.120000000000001;0.0;0.0
14.13;0.0;0.0
14.14;0.0;0.0
14.15;0.0;0.0
